country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
Swizerland,1924,850500000.00,8216593812.00,0.10,4,,
Swizerland,1925,797600000.00,8412364688.00,0.09,3.9,,
Swizerland,1926,769000000.00,8331505655.00,0.09,3.5,,
Swizerland,1927,798800000.00,8688656707.00,0.09,3.5,,
Swizerland,1928,818300000.00,9324424069.00,0.09,3.5,,
Swizerland,1929,855700000.00,9490721065.00,0.09,3.5,,
Swizerland,1930,894000000.00,9336656396.00,0.10,2.89,,
Swizerland,1931,1141000000.00,8982826203.00,0.13,2.03,,
Swizerland,1932,1508400000.00,8098261379.00,0.19,2,,
Swizerland,1933,1440100000.00,7988677447.00,0.18,2,,
Swizerland,1934,1349200000.00,7818618442.00,0.17,2,,
Swizerland,1935,1283000000.00,7412714505.00,0.17,2.33,,
Swizerland,1936,1293900000.00,7401417202.00,0.17,2.3,,
Swizerland,1937,1378400000.00,8525434651.00,0.16,1.5,,
Swizerland,1938,1555400000.00,8400688538.00,0.19,1.5,,
Swizerland,1939,1802300000.00,8786611696.00,0.21,1.5,,
Swizerland,1940,2081900000.00,9828346756.00,0.21,1.5,,
Swizerland,1941,2107800000.00,10727021755.00,0.20,1.5,,
Swizerland,1942,2251400000.00,11592598350.00,0.19,1.5,,
Swizerland,1943,2646500000.00,12194004252.00,0.22,1.5,,
Swizerland,1944,3025100000.00,12630068401.00,0.24,1.5,,
Swizerland,1945,3517600000.00,13445020460.00,0.26,1.5,,
Swizerland,1946,3633200000.00,16432120606.00,0.22,1.5,,
Swizerland,1947,3940600000.00,18325851524.00,0.22,1.5,,
Swizerland,1948,4167900000.00,19015385851.00,0.22,1.5,,
Swizerland,1949,4259900000.00,18192520176.00,0.23,1.5,,
Swizerland,1950,4239600000.00,19192678876.00,0.22,1.5,,
Swizerland,1951,4419500000.00,21885388962.00,0.20,1.5,,
Swizerland,1952,4596200000.00,22164552111.00,0.21,1.5,,
Swizerland,1953,4783600000.00,22708677224.00,0.21,1.5,,
Swizerland,1954,4904000000.00,23967797619.00,0.20,1.5,,
Swizerland,1955,5056800000.00,25943876838.00,0.19,1.5,,
Swizerland,1956,5189700000.00,27653915980.00,0.19,1.5,,
Swizerland,1957,5467200000.00,29607771175.00,0.18,2.13,,
Swizerland,1958,5501200000.00,29489982457.00,0.19,2.5,,
Swizerland,1959,5705300000.00,31939678375.00,0.18,2.08,,
Swizerland,1960,6042400000.00,35927638057.00,0.17,2,,
Swizerland,1961,6672900000.00,46846156800.00,0.14,2,,
Swizerland,1962,7358900000.00,51950571520.00,0.14,2,,
Swizerland,1963,8002800000.00,57126662144.00,0.14,2,,
Swizerland,1964,8638600000.00,63322750976.00,0.14,2.25,,
Swizerland,1965,9179100000.00,67110535168.00,0.14,2.5,,
Swizerland,1966,9566500000.00,72066473984.00,0.13,2.99,,
Swizerland,1967,10013400000.00,77576192000.00,0.13,3.26,,
Swizerland,1968,10577500000.00,82835611648.00,0.13,3,,
Swizerland,1969,11259900000.00,89754304512.00,0.13,3.22,,
Swizerland,1970,11784700000.00,,,3.75,,
Swizerland,1971,12663800000.00,,,3.75,,
Swizerland,1972,14080400000.00,,,3.75,,
Swizerland,1973,15784200000.00,,,4.46,,
Swizerland,1974,17022700000.00,,,5.5,,
Swizerland,1975,17608500000.00,,,4.25,,
Swizerland,1976,17778400000.00,,,2.21,,
Swizerland,1977,18590500000.00,,,1.77,,
Swizerland,1978,19547600000.00,,,1.04,,
Swizerland,1979,21069700000.00,,,1.17,,
Swizerland,1980,21779700000.00,199422266300.00,0.11,2.92,,
Swizerland,1981,21937000000.00,214085978100.00,0.10,4.92,,
Swizerland,1982,22101900000.00,226807838300.00,0.10,5.33,,
Swizerland,1983,22796500000.00,233659906900.00,0.10,4.1,,
Swizerland,1984,23327600000.00,249738515700.00,0.09,4,,
Swizerland,1985,23676700000.00,264792114100.00,0.09,4,,
Swizerland,1986,24030200000.00,277898340500.00,0.09,4,,
Swizerland,1987,24831500000.00,288496654500.00,0.09,2.5,,
Swizerland,1988,25876500000.00,306265992700.00,0.08,3,,
Swizerland,1989,26482500000.00,330580551800.00,0.08,6,,
Swizerland,1990,25948100000.00,358506055400.00,0.07,6,,
Swizerland,1991,26533300000.00,374437171100.00,0.07,7,,
Swizerland,1992,26537700000.00,382225362600.00,0.07,6,,
Swizerland,1993,26925100000.00,390608004800.00,0.07,,,
Swizerland,1994,27440600000.00,400252833700.00,0.07,,,
Swizerland,1995,27633700000.00,405144610900.00,0.07,,,
Swizerland,1996,28320400000.00,407993326800.00,0.07,,,
Swizerland,1997,29086400000.00,415825221100.00,0.07,,,
Swizerland,1998,29640800000.00,427756461400.00,0.07,,,
Swizerland,1999,30905700000.00,435506546000.00,0.07,,,
Swizerland,2000,31643100000.00,459447328300.00,0.07,,,
Swizerland,2001,33168600000.00,470218133600.00,0.07,,,
Swizerland,2002,35231300000.00,469788240400.00,0.07,,,
Swizerland,2003,35765500000.00,475270389100.00,0.08,,,
Swizerland,2004,36292600000.00,490142546800.00,0.07,,,
Swizerland,2005,37106800000.00,508899983600.00,0.07,,,
Swizerland,2006,38174100000.00,540288991000.00,0.07,,,
Swizerland,2007,38989800000.00,576087606400.00,0.07,,,
Swizerland,2008,41405200000.00,600431092900.00,0.07,,,
Swizerland,2009,45362600000.00,589213223100.00,0.08,,,
Swizerland,2010,47135700000.00,608830563500.00,0.08,,,
Swizerland,2011,49335400000.00,621256121200.00,0.08,,,
Swizerland,2012,54831600000.00,626414129400.00,0.09,,,
Swizerland,2013,59735100000.00,638176961000.00,0.09,,,
Swizerland,2014,62697000000.00,649718345000.00,0.10,,,
Swizerland,2015,67411500000.00,654257903700.00,0.10,,,
Swizerland,2016,72255000000.00,660392665200.00,0.11,,,
Swizerland,2017,76507100000.00,668571594300.00,0.11,,,
Swizerland,2018,78997600000.00,689897967500.00,0.11,,,
Australia,1945,362000000.00,,,,,
Australia,1946,396735000.00,,,,,
Australia,1947,404804000.00,,,,,
Australia,1948,390906000.00,,,,,
Australia,1949,425146000.00,5237000000.00,0.08,,,
Australia,1950,462329000.00,7061000000.00,0.07,,,
Australia,1951,549565000.00,7486000000.00,0.07,,,
Australia,1952,603571000.00,8766000000.00,0.07,,,
Australia,1953,656326000.00,9518000000.00,0.07,,,
Australia,1954,686268000.00,9937000000.00,0.07,,,
Australia,1955,723968000.00,10879000000.00,0.07,,,
Australia,1956,743670000.00,11910000000.00,0.06,,,
Australia,1957,761688000.00,12100000000.00,0.06,,,
Australia,1958,773992000.00,12961000000.00,0.06,,,
Australia,1959,789208000.00,14163000000.00,0.06,,,
Australia,1960,836110000.00,15152000000.00,0.06,,,
Australia,1961,831284000.00,15716000000.00,0.05,,,
Australia,1962,847750000.00,16924000000.00,0.05,,,
Australia,1963,861094000.00,18780000000.00,0.05,,,
Australia,1964,864532000.00,20523000000.00,0.04,,,
Australia,1965,862163000.00,21600000000.00,0.04,,,
Australia,1966,849328000.00,23876000000.00,0.04,,,
Australia,1967,938184000.00,25617000000.00,0.04,,,
Australia,1968,1006000000.00,28817000000.00,0.03,,,
Australia,1969,1107418000.00,31803000000.00,0.03,,,
Australia,1970,1215482000.00,35291000000.00,0.03,,,
Australia,1971,1369000000.00,39332000000.00,0.03,,,
Australia,1972,1508000000.00,44709000000.00,0.03,,,
Australia,1973,1767000000.00,52777000000.00,0.03,,,
Australia,1974,2164000000.00,64117000000.00,0.03,,,
Australia,1975,2545000000.00,77018000000.00,0.03,,,
Australia,1976,2921000000.00,88171000000.00,0.03,,,
Australia,1977,3319000000.00,95481000000.00,0.03,,,
Australia,1978,3688000000.00,109569000000.00,0.03,,,
Australia,1979,4113000000.00,124503000000.00,0.03,,,
Australia,1980,4549000000.00,141067000000.00,0.03,,,
Australia,1981,5094000000.00,160674000000.00,0.03,,,
Australia,1982,5837000000.00,173585000000.00,0.03,,,
