,country,year,cic,country_code,gdp,cd,log_cd,log_cic,interest_rates_imf,country_code.y,tax_gdp,uncertainty,eci,eci_2
98,Cote d'Ivoire,2005,8.01399E+11,CIV,9.01E+12,0.088945454,-2.419731969,27.40962422,3,CIV,13.88408806,0.4786265,-1.2167,-1.53506
99,Denmark,2005,5.62E+10,DNK,1.59E+12,0.035356604,-3.342270093,24.75248504,2.25,DNK,33.07176767,0.161914675,1.4818,1.20769
100,Dominican Republic,2005,49910577051,DOM,1.08E+12,0.046213497,-3.074483375,24.63349878,10,DOM,13.69816112,0.038514025,-0.332228,-0.173068
101,Ghana,2005,852050000,GHA,9726080000,0.087604667,-2.434921006,20.56315577,15.5,GHA,21.32150832,0.211199675,-1.38268,-1.95288
102,Guatemala,2005,14261865762,GTM,2.08E+11,0.068566662,-2.679948834,23.38085508,4.25,GTM,11.20539142,0.263671425,-0.260139,-0.153951
103,India,2005,4.30E+12,IND,3.63E+13,0.118341047,-2.134184596,29.08865426,6.25,IND,10.08093058,0.0860538,0.158145,0.696785
104,Israel,2005,24410492084,ISR,6.39E+11,0.038201083,-3.264891411,23.91827888,4.5,ISR,25.37165305,0.252878875,1.0958,1.02171
105,Jamaica,2005,35644528000,JAM,7.00E+11,0.050920754,-2.977484692,24.29686148,12.95,JAM,23.21597284,0.13802885,-0.307798,-0.899932
106,Malaysia,2005,34396578830,MYS,5.44E+11,0.063229005,-2.76099214,24.26122294,3,MYS,14.82639106,0.100702975,0.795607,1.01417
107,Moldova,2005,5148886869,MDA,37651869000,0.136749835,-1.989602045,22.36204639,12.5,MDA,18.48540374,0.074328375,-0.071912,0.084351
108,New Zealand,2005,3919996564,NZL,1.63E+11,0.024049059,-3.727659424,22.08935661,7.25,NZL,30.31290683,0.0747918,0.334674,0.399155
109,Philippines,2005,3.36558E+11,PHL,5.68E+12,0.059253082,-2.825937483,26.54203487,7.596,PHL,12.42728273,0.2403072,-0.119035,0.832416
110,South Africa,2005,54236646000,ZAF,1.64E+12,0.033071126,-3.409094715,24.71662264,7,ZAF,25.74329543,0.05933935,0.16654,0.574773
111,Sweden,2005,1.11E+11,SWE,2.91E+12,0.038170103,-3.265702711,25.43347149,1.5,SWE,28.4714275,0.029392975,2.02943,1.33976
112,Switzerland,2005,37106800000,CHE,5.09E+11,0.072901375,-2.618647775,24.33706608,1.5,CHE,9.429327005,0.0966179,2.06907,1.43364
113,Thailand,2005,7.53252E+11,THA,7.61E+12,0.09898182,-2.312819079,27.34766521,4,THA,16.06186448,0.0845175,0.463214,0.890762
114,Togo,2005,71323200000,TGO,1.20E+12,0.059436,-2.822855176,24.9904875,3,TGO,12.8777438,0.419164275,-0.856163,-1.17882
115,United Kingdom,2005,3.45E+10,GBR,1.39E+12,0.024788489,-3.697375878,24.26294898,4.5,GBR,25.51533642,0.170160025,1.77065,1.27567
116,United States,2005,7.59E+11,USA,1.30E+13,0.058403538,-2.840378801,27.35559167,4.25,USA,10.68450134,0.124968,1.74324,1.25808
117,Argentina,2006,5.92E+10,ARG,7.16E+11,0.082712291,-2.492387072,24.80455893,6.25,ARG,12.8788867,0.169045375,0.053536,0.234634
118,Australia,2006,3.89E+10,AUS,9.96E+11,0.03910241,-3.241571186,24.38544191,6.25,AUS,24.60965647,0.068764825,-0.155239,0.322686
119,Bangladesh,2006,3.14E+11,BGD,4.82E+12,0.065219087,-2.730003105,26.47379194,5,BGD,7.043304058,0.270718225,-1.19826,-0.826068
120,Belarus,2006,336531530,BLR,7926700000,0.042455439,-3.159300242,19.6342024,10,BLR,22.22309662,0.0552247,0.856248,0.798572
121,Brazil,2006,8.58E+10,BRA,2.41E+12,0.035612033,-3.335071687,25.17557618,13.25,BRA,15.38131159,0.230186075,0.477157,0.536364
122,Bulgaria,2006,6888580000,BGR,53219100000,0.129438115,-2.044552386,22.6531308,3.26,BGR,21.11192974,0.0735507,0.373395,0.450985
123,Canada,2006,48762193000,CAN,1.49E+12,0.032726304,-3.41957612,24.61022112,4.25,CAN,13.38728474,0.15113275,0.811793,0.967886
124,Chile,2006,2.82307E+12,CHL,8.21E+13,0.034385787,-3.370111957,28.66884718,5.25,CHL,19.49190685,0.015822775,-0.196433,-0.170668
125,Cote d'Ivoire,2006,8.24414E+11,CIV,9.31E+12,0.088551436,-2.424171695,27.43793851,3.25,CIV,14.65785867,0.4605241,-1.31008,-1.54001
126,Denmark,2006,5.98E+10,DNK,1.68E+12,0.035575595,-3.336095403,24.81371951,3.5,DNK,31.86029116,0.0464433,1.44935,1.18262
127,Dominican Republic,2006,53498195472,DOM,1.26E+12,0.042458885,-3.159219076,24.70291376,8,DOM,13.99475989,0.0379254,-0.211474,-0.132785
128,Ghana,2006,1090750000,GHA,18705461200,0.058311847,-2.841949991,20.81013137,12.5,GHA,12.80707166,0.146254275,-1.22288,-1.9729
129,Guatemala,2006,15771981880,GTM,2.30E+11,0.068573834,-2.679844242,23.4815009,5,GTM,11.85697131,0.2101904,-0.295499,-0.104217
130,Honduras,2006,13592613590,HND,2.06E+11,0.065983561,-2.718349642,23.33279236,6,HND,15.23835608,0.02277905,-0.74113,-0.385334
131,India,2006,5.04E+12,IND,4.25E+13,0.118611529,-2.131901585,29.24862361,7.25,IND,11.12933701,0.0511348,0.167513,0.640933
132,Israel,2006,25539195671,ISR,6.86E+11,0.037229148,-3.290663271,23.96348019,5,ISR,26.08284557,0.1547203,1.04361,0.985505
133,Jamaica,2006,42317322000,JAM,7.84E+11,0.053976176,-2.919212515,24.46846234,12.6,JAM,24.01438994,0.1075111,-0.427749,-0.92279
134,Malaysia,2006,37894936816,MYS,5.97E+11,0.063475606,-2.757099603,24.35808335,3.5,MYS,14.51622131,0.091425225,0.781241,1.01619
135,Moldova,2006,5817191027,MDA,44754367000,0.129980411,-2.040371523,22.48408334,14.5,MDA,19.57105102,0.087669075,-0.133663,0.112264
136,New Zealand,2006,3957607526,NZL,1.72E+11,0.023009346,-3.771854794,22.09890552,7.25,NZL,31.96581296,0.09010705,0.348336,0.400108
137,Peru,2006,13651037789,PER,2.90E+11,0.047072544,-3.056065376,23.33708138,4.5,PER,15.6699876,0.27160225,-0.554171,-0.432231
138,Philippines,2006,3.84492E+11,PHL,6.27E+12,0.061322427,-2.791609651,26.67518782,7.6062,PHL,13.71187088,0.202428875,-0.000206,0.636047
139,South Africa,2006,63575190000,ZAF,1.84E+12,0.034551734,-3.365297551,24.87548914,9,ZAF,27.26987061,0.254678925,0.237984,0.559629
140,Sweden,2006,1.12E+11,SWE,3.10E+12,0.036251613,-3.317271405,25.44515182,2.5,SWE,28.46220584,0.0591182,1.94426,1.32153
141,Switzerland,2006,38174100000,CHE,5.40E+11,0.070692778,-2.649411864,24.36542311,2.5,CHE,9.521761742,0.096448225,2.05479,1.4279
142,Thailand,2006,7.73842E+11,THA,8.40E+12,0.092124077,-2.38461895,27.37463387,5,THA,15.63697224,0.49259095,0.433048,0.917661
143,Togo,2006,1.11153E+11,TGO,1.23E+12,0.090368211,-2.403862717,25.43417257,3.25,TGO,13.88591562,0.257062475,-0.931563,-1.22017
144,United Kingdom,2006,3.58E+10,GBR,1.47E+12,0.024382993,-3.71386939,24.30241413,5,GBR,25.70130882,0.14889365,1.72653,1.25941
145,United States,2006,7.83E+11,USA,1.38E+13,0.056719783,-2.869632229,27.38605748,5.25,USA,11.31121212,0.0597152,1.66414,1.23318
146,Argentina,2007,7.48E+10,ARG,8.97E+11,0.083393534,-2.484184503,25.0381372,10.75,ARG,12.44826845,0.33425045,0.073768,0.217877
147,Australia,2007,4.49E+10,AUS,1.09E+12,0.04122844,-3.188626961,24.52857185,6.75,AUS,24.11013139,0.01910585,-0.171363,0.315414
148,Bangladesh,2007,3.50E+11,BGD,5.50E+12,0.063631273,-2.75465022,26.58111899,5,BGD,6.917262669,0.294465275,-1.01275,-0.790256
149,Belarus,2007,400739630,BLR,9716530000,0.041243081,-3.188271923,19.80882247,10,BLR,23.72669873,0.0581454,0.682706,0.645486
150,Brazil,2007,1.03E+11,BRA,2.72E+12,0.037825368,-3.2747753,25.3568777,11.25,BRA,15.77553383,0.045668975,0.548606,0.543139
151,Bulgaria,2007,8410870000,BGR,6.35E+10,0.132529781,-2.020947899,22.85279075,4.58,BGR,22.88226869,0.131477725,0.410246,0.491867
152,Canada,2007,50565246000,CAN,1.57E+12,0.032207163,-3.435566396,24.64653034,4.25,CAN,13.36941352,0.12229815,0.789332,0.950664
153,Chile,2007,3.31584E+12,CHL,9.07E+13,0.036558276,-3.308847688,28.82973079,6,CHL,20.25693262,0.01668335,-0.171878,-0.151162
154,Costa Rica,2007,5.46262E+11,CRI,1.38E+13,0.039584167,-3.229326071,27.02636364,5.52,CRI,14.93464546,0.068638575,-0.022522,0.140602
155,Cote d'Ivoire,2007,1.07005E+12,CIV,9.75E+12,0.109749106,-2.209558377,27.69873002,3.25,CIV,15.05841675,0.37340955,-1.29502,-1.48772
156,Denmark,2007,6.16E+10,DNK,1.74E+12,0.035375287,-3.3417418,24.84316443,4,DNK,35.09300117,0.254030875,1.40257,1.15466
157,Dominican Republic,2007,62290893785,DOM,1.46E+12,0.042664996,-3.154376467,24.85508108,7,DOM,14.88626837,0.094862675,-0.222327,-0.208932
158,Ghana,2007,1470590000,GHA,23154448200,0.063512202,-2.756523228,21.10892952,13.5,GHA,13.87798455,0.09712015,-1.05022,-1.87629
159,Guatemala,2007,20010777525,GTM,2.62E+11,0.076377013,-2.572073499,23.71953684,6.5,GTM,12.05936254,0.021289275,-0.227969,-0.097283
160,Honduras,2007,16362516643,HND,2.34E+11,0.069925285,-2.660327967,23.51825899,7.5,HND,16.38500055,0,-0.623958,-0.406161
161,India,2007,5.91E+12,IND,4.90E+13,0.120571633,-2.115511241,29.40733017,7.75,IND,12.10834714,0.043145625,0.168601,0.671858
162,Israel,2007,28966278314,ISR,7.34E+11,0.039463594,-3.232376692,24.08939817,4,ISR,26.05086885,0.268555925,1.08661,0.954215
163,Jamaica,2007,47220650000,JAM,8.86E+11,0.053296445,-2.931885654,24.57809713,11.65,JAM,24.78654643,0.1929696,-0.281016,-0.884219
164,Malaysia,2007,42191663812,MYS,6.65E+11,0.063446111,-2.757564379,24.4654885,3.5,MYS,14.30372284,0.1040177,0.716039,1.02306
165,Moldova,2007,7603346529,MDA,53429571000,0.142305963,-1.949775874,22.75185432,16,MDA,20.56670079,0.0185694,-0.072815,0.122004
166,New Zealand,2007,4086540331,NZL,1.87E+11,0.021853157,-3.82340989,22.13096456,8.25,NZL,30.08199266,0.070793225,0.340088,0.399095
167,Peru,2007,16999439067,PER,3.20E+11,0.053123247,-2.935140648,23.55644618,5,PER,16.40746835,0,-0.614336,-0.403217
168,Philippines,2007,4.33854E+11,PHL,6.89E+12,0.06296871,-2.765117343,26.79597486,5.55879,PHL,13.53488654,0.239239575,0.123978,0.781647
169,South Africa,2007,68195650152,ZAF,2.11E+12,0.032320213,-3.432062444,24.94564662,11,ZAF,27.59603925,0.425711675,0.165269,0.535295
170,Sweden,2007,1.14E+11,SWE,3.30E+12,0.034643636,-3.362641225,25.46230236,3.5,SWE,28.4166262,0.10763525,1.91852,1.29965
171,Switzerland,2007,38989800000,CHE,5.76E+11,0.067690625,-2.692807587,24.38656591,3.25,CHE,9.359673913,0.09301145,1.99311,1.42697
172,Thailand,2007,8.42624E+11,THA,9.08E+12,0.092799988,-2.377308769,27.45978654,3.25,THA,15.14314655,0.3955844,0.491304,0.9284
173,Togo,2007,1.35522E+11,TGO,1.27E+12,0.106710472,-2.237635977,25.63240204,3.25,TGO,15.36898502,0.18878465,-0.895164,-1.13823
174,United Kingdom,2007,3.74E+10,GBR,1.54E+12,0.024305195,-3.717065173,24.34573836,5.5,GBR,25.83340794,0.204462625,1.7096,1.24519
175,United States,2007,7.92E+11,USA,1.45E+13,0.054606966,-2.907593831,27.39757593,4.25,USA,11.30719612,0.2736985,1.62483,1.21368
176,Argentina,2008,8.41E+10,ARG,1.15E+12,0.073118261,-2.615677137,25.15510592,12.05,ARG,13.31784636,0.261808475,0.077066,0.231925
177,Australia,2008,5.17E+10,AUS,1.18E+12,0.043821186,-3.12763787,24.66889768,4.25,AUS,24.26364102,0.2299376,-0.210701,0.302425
178,Azerbaijan,2008,4425820567,AZE,40137200000,0.110267297,-2.204847885,22.21072154,8,AZE,16.42117537,0.1071552,-1.00637,-0.226929
179,Bangladesh,2008,4.04E+11,BGD,6.29E+12,0.064177266,-2.746106251,26.72387594,5,BGD,7.656029883,0.150427675,-0.936713,-0.730822
