"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_wdi","tax_gdp","uncertainty","eci","eci_2"
"123","Zambia",2003,670435629.62861,"ZMB",23201878000,0.0288957484229772,-3.54406080807778,20.3234382525406,21.95,14.85951988,0.211322625,-1.09653,-1.09071
"124","Albania",2004,141644797271,"ALB",7.38e+11,0.191930619608401,-1.65062132846549,25.6765883330814,6.60669485084465,17.96508682,0,-0.128714,-0.202839
"125","Angola",2004,56346281722.6,"AGO",1.97e+12,0.0286021734632487,-3.55427256882533,24.7547820898531,15.4393455269743,18.07456616,0.10374665,-0.705732,-0.928527
"126","Argentina",2004,3.7624e+10,"ARG",4.85e+11,0.0775752577319588,-2.55650674629474,24.3509079815892,2.61496759139057,13.1007799,0.237159075,0.002533,0.212719
"127","Australia",2004,3.4861e+10,"AUS",8.61e+11,0.0404889663182346,-3.20672577857403,24.2746345628001,3.85,24.33803811,0.031713725,-0.218672,0.311575
"128","Bangladesh",2004,1.8282e+11,"BGD",3.83e+12,0.047733681462141,-3.04211801994902,25.9317678991721,5.80166666666667,7.046448418,0.03839575,-1.23386,-0.893082
"129","Belarus",2004,155340000,"BLR",4999180000,0.031073095987742,-3.47141291497527,18.8611268209558,12.7166666666667,18.3713469,0.01654205,0.832963,0.820173
"130","Bolivia",2004,4282951435.5,"BOL",69626113000,0.0615135794741263,-2.78849732408604,22.1779081966174,7.41976666666667,15.01634882,0.653761175,-0.919345,-0.89938
"131","Brazil",2004,6.1936e+10,"BRA",1.96e+12,0.0316,-3.45459815838927,24.8493674307817,15.4161509661468,15.75277073,0.2683731,0.399357,0.509742
"132","Bulgaria",2004,5020240000,"BGR",40886400000,0.122785082570243,-2.09731974808909,22.3367435782722,3.04970833333333,21.21665639,0.05698615,0.309366,0.413788
"133","Cambodia",2004,1158496251100,"KHM",2.14e+13,0.0541353388364486,-2.91626809313757,27.7781439448188,1.79166666666667,8.117265035,0.321845725,-1.14921,-0.634743
"134","Canada",2004,44240545000,"CAN",1.33e+12,0.0332635676691729,-3.40329254490943,24.5129075132528,0.783333333333333,13.39031039,0.1581404,0.862716,1.07845
"135","Chile",2004,2.143372e+12,"CHL",6.05e+13,0.0354276363636364,-3.34026307518265,28.3934014057827,1.93744532025397,16.40223152,0.1058834,-0.150324,-0.173677
"136","Costa Rica",2004,277736158510.95,"CRI",8.11e+12,0.0342461354514118,-3.37418155417551,26.3499374298804,9.51388888888889,13.41778747,0.205314825,-0.004518,0.111144
"137","Croatia",2004,12826644640.71,"HRV",2.51e+11,0.0511021698833068,-2.97392831920423,23.274790456874,1.87333333333333,20.88763501,0.033857,0.681113,0.712029
"138","Czech Republic",2004,2.61429e+11,"CZE",3.06e+12,0.0854343137254902,-2.46000745882335,26.2894285730695,1.28333333333333,15.49079755,0.266578025,1.53388,1.19947
"139","Dominican Republic",2004,40678542000,"DOM",9.36e+11,0.0434599807692308,-3.13591474664749,24.4289665667765,21.1175,12.52188432,0.05775005,-0.300896,-0.184007
"140","Georgia",2004,676157485,"GEO",9824300000,0.0688250038170658,-2.67618817249301,20.3319365728512,7.07461408609673,9.927424855,0.15602685,-0.17425,0.104236
"141","Ghana",2004,767390000,"GHA",7988791000,0.09605833974127,-2.34279956645437,20.4585057046784,13.625,21.75210552,0.07666835,-1.35863,-1.98289
"142","Guatemala",2004,12626401723.9,"GTM",1.9e+11,0.0664547459152632,-2.71123407552653,23.2590558335804,4.19,11.55273704,0.5810532,-0.353519,-0.225361
"143","Honduras",2004,9379188940.15,"HND",1.62e+11,0.0578962280256173,-2.8491030428877,22.9617591292911,11.0947345018684,14.49585933,0.06046175,-0.566724,-0.441036
"144","Hungary",2004,1.452564e+12,"HUN",2.11e+13,0.0688418957345972,-2.67594276974666,28.0043513866639,10.5038434728745,20.36215533,0.10479035,1.15856,1.18565
"145","Indonesia",2004,126895202585593,"IDN",2.3e+15,0.0551718272111274,-2.89730283259557,32.4743826852502,6.44333333333333,12.3307679,0.322989825,-0.079228,0.513515
"146","Israel",2004,20778535367,"ISR",6.07e+11,0.0342315244925865,-3.37460829069247,23.7571863373134,3.61819166666667,24.86527295,0.175509025,1.1044,1.01641
"147","Jamaica",2004,32398103000,"JAM",6.23e+11,0.0520033756019262,-2.95644664708597,24.2013657086479,10.7510684121957,24.16749731,0.129916925,-0.294213,-0.892832
"148","Japan",2004,8.24484e+13,"JPN",5.21e+14,0.158250287907869,-1.84357739863648,32.0431937590454,0.08025,9.352694056,0.0862989,2.47862,1.63081
"149","Kuwait",2004,606277000,"KWT",1.7517e+10,0.034610778101273,-3.36359013960918,20.2228475353067,2.65475833333333,1.324427699,0.04814445,-0.11916,-0.133892
"150","Malaysia",2004,32353772375.97,"MYS",4.74e+11,0.0682569037467722,-2.68447669623391,24.1999964624076,3,15.1990617,0.12898395,0.854059,1.05327
"151","Moldova",2004,4094326251,"MDA",32031777000,0.127820765329379,-2.05712626722215,22.1328680110446,15.115,16.35750648,0.10654365,-0.019115,0.160901
"152","Morocco",2004,83289014736.22,"MAR",5.29e+11,0.157446152620454,-1.84867176729762,25.1455825015071,3.605,18.97885165,0.04506795,-0.648625,-0.276494
"153","Namibia",2004,945758162.7,"NAM",41861709600,0.0225924400063202,-3.79013994166053,20.667497452368,6.35166666666667,24.75508788,0.07830435,-0.655761,-0.734581
"154","New Zealand",2004,3578538223.72,"NZL",1.55e+11,0.0230873433788387,-3.76847071728753,21.9982202365781,5.77011666666667,29.25793128,0.0188608,0.287348,0.39197
"155","Nicaragua",2004,3416569118,"NIC",92323401500,0.0370065342317354,-3.29666078107229,21.9519027026259,4.71597047096443,12.18817918,0.193037,-0.763565,-0.694225
